stock,yr,catch
Bight Redfish,1988,85.651
Bight Redfish,1989,170.833
Bight Redfish,1990,281.808
Bight Redfish,1991,265.612
Bight Redfish,1992,120.698
Bight Redfish,1993,107.472
Bight Redfish,1994,157.803
Bight Redfish,1995,173.922
Bight Redfish,1996,327.177
Bight Redfish,1997,372.617
Bight Redfish,1998,437.788
Bight Redfish,1999,323.641
Bight Redfish,2000,387.879
Bight Redfish,2001,262.613
Bight Redfish,2002,424.672
Bight Redfish,2003,946.477
Bight Redfish,2004,937.456
Bight Redfish,2005,789.704
Bight Redfish,2006,1023.91
Bight Redfish,2007,808.024
Bight Redfish,2008,681.885
Bight Redfish,2009,469.696
Bight Redfish,2010,297.596
Bight Redfish,2011,341.481
Bight Redfish,2012,273.451
Bight Redfish,2013,207.051
Bight Redfish,2014,238.327
Blue Grenadier,1979,499.47
Blue Grenadier,1980,849.533
Blue Grenadier,1981,468.787
Blue Grenadier,1982,791.182
Blue Grenadier,1983,907.633
Blue Grenadier,1984,1370.049
Blue Grenadier,1985,1227.367
Blue Grenadier,1986,2283.53
Blue Grenadier,1987,3431.8
Blue Grenadier,1988,2806.04
Blue Grenadier,1989,3126.1
Blue Grenadier,1990,3381.23
Blue Grenadier,1991,4657.87
Blue Grenadier,1992,3302.39
Blue Grenadier,1993,3436.56
Blue Grenadier,1994,3177.73
Blue Grenadier,1995,2834.96
Blue Grenadier,1996,3453.79
Blue Grenadier,1997,5574.78
Blue Grenadier,1998,6312.95
Blue Grenadier,1999,9567.9
Blue Grenadier,2000,8725
Blue Grenadier,2001,9137.52
Blue Grenadier,2002,9167.03
Blue Grenadier,2003,8473.88
Blue Grenadier,2004,6412.12
Blue Grenadier,2005,4442.96
Blue Grenadier,2006,3677.92
Blue Grenadier,2007,3183.51
Blue Grenadier,2008,3957.08
Blue Grenadier,2009,3270.699
Blue Grenadier,2010,4202.59
Blue Grenadier,2011,4282.545
Blue Grenadier,2012,4197.878
Deepwater Flathead,1988,312.491
Deepwater Flathead,1989,394.672
Deepwater Flathead,1990,420.152
Deepwater Flathead,1991,608.128
Deepwater Flathead,1992,508.162
Deepwater Flathead,1993,585.072
Deepwater Flathead,1994,1254.8
Deepwater Flathead,1995,1551.59
Deepwater Flathead,1996,1459.34
Deepwater Flathead,1997,1010.35
Deepwater Flathead,1998,680.659
Deepwater Flathead,1999,544.992
Deepwater Flathead,2000,776.912
Deepwater Flathead,2001,963.613
Deepwater Flathead,2002,1866.03
Deepwater Flathead,2003,2482.09
Deepwater Flathead,2004,2264.12
Deepwater Flathead,2005,1545.6
Deepwater Flathead,2006,1039.69
Deepwater Flathead,2007,1034.71
Deepwater Flathead,2008,812.663
Deepwater Flathead,2009,851.272
Deepwater Flathead,2010,968.028
Deepwater Flathead,2011,973.371
Deepwater Flathead,2012,1027.84
Gemfish East,1968,1523.46
Gemfish East,1969,1548.2288
Gemfish East,1970,1562.2957
Gemfish East,1971,1576.8484
Gemfish East,1972,1602.8494
Gemfish East,1973,1561.1044
Gemfish East,1974,1884.0493
Gemfish East,1975,1790.0061
Gemfish East,1976,3694.5555
Gemfish East,1977,5126.447
Gemfish East,1978,7309.104
Gemfish East,1979,5630.495
Gemfish East,1980,6569.057
Gemfish East,1981,5098.598
Gemfish East,1982,4609.076
Gemfish East,1983,4096.995
Gemfish East,1984,3784.58834
Gemfish East,1985,3800.3803
Gemfish East,1986,4396.8178
Gemfish East,1987,5285.0787
Gemfish East,1988,4138.3077
Gemfish East,1989,2367.32838
Gemfish East,1990,1768.9463
Gemfish East,1991,1139.1592
Gemfish East,1992,1124.8074
Gemfish East,1993,1287.2156
Gemfish East,1994,529.4838
Gemfish East,1995,555.8516
Gemfish East,1996,622.4644
Gemfish East,1997,625.7524
Gemfish East,1998,401.3323
Gemfish East,1999,291.0343
Gemfish East,2000,125.4315
Gemfish East,2001,78.10462
Gemfish East,2002,54.88585
Gemfish East,2003,75.78475
Gemfish East,2004,92.68521
Gemfish East,2005,92.81775
Gemfish East,2006,95.15185
Gemfish East,2007,111.80507
Gemfish East,2008,186.8054
Morwong East,1915,49
Morwong East,1916,50
Morwong East,1917,58
Morwong East,1918,89
Morwong East,1919,99
Morwong East,1920,145
Morwong East,1921,143
Morwong East,1922,102
Morwong East,1923,98
Morwong East,1924,162
Morwong East,1925,235
Morwong East,1926,259
Morwong East,1927,327
Morwong East,1928,391
Morwong East,1929,450
Morwong East,1930,402
Morwong East,1931,420
Morwong East,1932,385
Morwong East,1933,352
Morwong East,1934,330
Morwong East,1935,364
Morwong East,1936,402
Morwong East,1937,427
Morwong East,1938,430
Morwong East,1939,430
Morwong East,1940,92
Morwong East,1941,100
Morwong East,1942,20
Morwong East,1943,7
Morwong East,1944,256
Morwong East,1945,565
Morwong East,1946,1813
Morwong East,1947,2317
Morwong East,1948,1745
Morwong East,1949,1516
Morwong East,1950,1118
Morwong East,1951,1189
Morwong East,1952,1506
Morwong East,1953,1352
Morwong East,1954,1674
Morwong East,1955,1577
Morwong East,1956,2139
Morwong East,1957,2208
Morwong East,1958,1758
Morwong East,1959,1502
Morwong East,1960,1088
Morwong East,1961,1201
Morwong East,1962,2489
Morwong East,1963,1950
Morwong East,1964,1472
Morwong East,1965,2210
Morwong East,1966,2709
Morwong East,1967,1237
Morwong East,1968,1846
Morwong East,1969,1442
Morwong East,1970,1362
Morwong East,1971,1582
Morwong East,1972,1525
Morwong East,1973,1925
Morwong East,1974,1843
Morwong East,1975,1969
Morwong East,1976,1841
Morwong East,1977,1361
Morwong East,1978,1624
Morwong East,1979,1649
Morwong East,1980,2556
Morwong East,1981,2347
