"Region","Subregion","Stock","Name","EnglishName","ScientificName","SpecCode","Group","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Northeast Atlantic","Azores","alf-comb","Alfonsinos/golden eye perch (Beryx spp.) in the Northeast Atlantic","Alfonsinos/golden","Beryx spp.",,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/alf-comb.pdf",1988,2015,1988,2015,,,,,,,,,,,,"Low",,,,,,,,,,,,"None","F","NEW 2016."
"Northeast Atlantic","Azores","sbr-x","Red (=blackspot) seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds)","Blackspot seabream","Pagellus bogaraveo",890,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sbr-x.pdf",1988,2015,1988,2015,,,,,,,,,,,,"Low",0.26,0.76,0.01,0.4,1999,0.2,0.6,0.01,0.4,"NA","NA","None","F","OK (RF 09.06.16)"
"Northeast Atlantic","Baltic Sea","bll-2232","Brill in Subdivisions 22–32 (Baltic Sea)","Brill","Scophthalmus rhombus",1348,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bll-2232.pdf",1970,2015,1995,2015,,,,,,,,,,,,"Medium","NA","NA",0.2,0.6,2000,0.01,0.4,"NA","NA",2005,2010,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","cod-2224","Cod in Sub-division 22 to 24","Atlantic cod","Gadus morhua",69,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-2224.pdf",1970,2015,1994,2015,1.01,0.74,27400,38400,,0.26,,38400,,,,"Medium",0.221,0.947,0.01,0.4,2009,0.01,0.25,0.01,0.3,2009,2014,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","cod-2532","Cod in Subdivisions 25–32","Atlantic cod","Gadus morhua",69,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-2532.pdf",1965,2015,1990,2015,,,63000,88200,,0.46,,88200,,,,"Medium",0.221,0.947,0.01,0.4,2003,0.01,0.2,0.01,0.2,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","dab-2232","Dab in Subdivisions 22–32 (Baltic Sea)","Common dab","Limanda limanda",695,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/dab-2232.pdf",1970,2015,1970,2015,,,,,,,,,,,,"Medium",0.22,0.98,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2223","Flounder in Subdivisions 22–23 (Belts and sound)","European flounder","Platichthys flesus",1341,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2223.pdf",1973,2015,1998,2015,,,,,,,,,,,,"Medium",0.22,0.97,"NA","NA",2005,0.01,0.4,0.5,0.9,2002,2006,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2425","Flounder in Subdivisions 24–25 (Southern Baltic Sea)","European flounder","Platichthys flesus",1341,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2425.pdf",1973,2015,1990,2015,,,,,,,,,,,,"Medium",0.22,0.97,0.01,0.4,2007,0.01,0.4,0.5,0.9,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2628","Flounder in Subdivisions 26 and 28 (Eastern Gotland and Gulf of Gdansk)","European flounder","Platichthys flesus",1341,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2628.pdf",1996,2015,1996,2015,,,,,,,,,,,,"Medium",0.22,0.97,"NA","NA","NA","NA","NA",0.01,0.3,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2732","Flounder in Subdivisions 27 and 29–32 (Northern Central and Northern Baltic Sea)","Flounder","Platichthys flesus",1341,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2732.pdf",1980,2015,1980,2015,,,,,,,,,,,,"Medium",0.22,0.97,0.2,0.6,2000,0.01,0.4,0.01,0.3,2000,2010,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-2532-gor","Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32","Atlantic herring","Clupea harengus",24,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-2532-gor.pdf",1974,2015,1974,2015,0.52,0.41,430000,600000,,0.22,,600000,,,,"Medium",0.159,0.995,0.5,0.9,"NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-30","Herring in Subdivision 30 (Bothnian Sea)","Atlantic herring","Clupea harengus",24,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-30.pdf",1973,2015,1990,2015,,,,,,0.15,,316000,,,,"Medium",0.159,0.995,0.5,0.9,2000,0.2,0.6,0.5,0.9,2000,2005,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-31","Herring in Subdivision 31 (BothnianBay)","Atlantic herring","Clupea harengus",24,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-31.pdf",1980,2015,1980,2015,,,,,,,,,,,,"Medium",0.159,0.995,"NA","NA",1995,0.01,0.4,0.2,0.6,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-3a22","Herring in Division IIIa and Subdivisions 22 - 24 ","Atlantic herring","Clupea harengus",24,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-3a22.pdf",1991,2015,1991,2015,0.52,0.45,90000,110000,,0.32,,110000,,,,"Medium",0.159,0.995,0.2,0.6,2011,0.01,0.3,0.01,0.4,2000,2005,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-riga","Herring in the Gulf of Riga","Atlantic herring","Clupea harengus",24,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-riga.pdf",1977,2015,1977,2015,0.88,0.63,40800,57100,,0.32,,60000,,,,"Medium",0.159,0.995,0.01,0.4,1990,0.2,0.6,0.2,0.6,2007,2012,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","ple-2123","Plaice in Subdivisions 21, 22, and 23 (Kattegat, Belts, and Sound)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/ple-2123.pdf",1999,2015,1999,2015,1.01,0.69,4480,5550,,0.37,,5550,,,,"Medium",0.17,0.71,0.01,0.4,"NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","ple-2432","Plaice in Subdivisions 24-32 (Baltic Sea)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/ple-2432.pdf",2002,2015,2002,2015,,,,,,,,,,,,"Medium",0.17,0.71,0.01,0.4,2008,0.01,0.4,0.5,0.9,2002,2008,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","sal-2231","Salmon in Subdivisions 22-31 (Baltic Sea, excluding Gulf of Finland)","Atlantic salmon","Salmo salar",236,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sal-2231.pdf",1993,2015,1993,2015,,,,,,,,,,,,"Medium",0.13,1.03,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","sal-32","Salmon in Subdivision 32 (Gulf of Finland)","Atlantic salmon","Salmo salar",236,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sal-32.pdf",1987,2015,1987,2015,,,,,,,,,,,,"Medium",0.13,1.03,"NA","NA",2005,0.01,0.3,0.01,0.3,"NA","NA","None","F","OK (RF 16.06.16)"
